playerid,Owner,Paid,Timestamp,Keeper
26197,Young Guns,1,2023-02-19 13:44:01,1
19556,Young Guns,30,2023-02-19 13:44:01,1
14374,Young Guns,0,2023-02-19 13:44:01,1
9803,Young Guns,1,2023-02-19 13:44:01,1
17295,Ugly Spuds,9,2023-02-19 13:44:01,1
21711,Ugly Spuds,1,2023-02-19 13:44:01,1
20970,Ugly Spuds,2,2023-02-19 13:44:01,1
25385,Ugly Spuds,0,2023-02-19 13:44:01,1
19361,Trouble,34,2023-02-19 13:44:01,1
14551,Trouble,1,2023-02-19 13:44:01,1
11156,Trouble,1,2023-02-19 13:44:01,1
15454,Trouble,0,2023-02-19 13:44:01,1
13510,Charmer,38,2023-02-19 13:44:01,1
30116,Charmer,4,2023-02-19 13:44:01,1
21390,Charmer,1,2023-02-19 13:44:01,1
19959,Charmer,0,2023-02-19 13:44:01,1
17606,Lima Time,0,2023-02-19 13:44:01,1
9777,Dirty Birds,26,2023-02-19 13:44:01,1
14107,Dirty Birds,15,2023-02-19 13:44:01,1
18383,Dirty Birds,0,2023-02-19 13:44:01,1
6902,Dirty Birds,1,2023-02-19 13:44:01,1
15640,Roid Ragers,27,2023-02-19 13:44:01,1
16137,Roid Ragers,16,2023-02-19 13:44:01,1
18171,Roid Ragers,1,2023-02-19 13:44:01,1
18568,Roid Ragers,0,2023-02-19 13:44:01,1
16478,Harvey,16,2023-02-19 13:44:01,1
14916,Harvey,5,2023-02-19 13:44:01,1
19665,Harvey,6,2023-02-19 13:44:01,1
23697,Harvey,0,2023-02-19 13:44:01,1
